,Category
0,business
1,business
2,business
3,tech
4,business
5,politics
6,sport
7,entertainment
8,business
9,entertainment
10,politics
11,entertainment
12,business
13,business
14,sport
15,sport
16,entertainment
17,sport
18,sport
19,tech
20,sport
21,entertainment
22,sport
23,sport
24,tech
25,business
26,tech
27,sport
28,politics
29,business
30,tech
31,entertainment
32,business
33,politics
34,sport
35,entertainment
36,sport
37,sport
38,sport
39,tech
40,tech
41,sport
42,sport
43,tech
44,entertainment
45,entertainment
46,tech
47,tech
48,tech
49,business
50,tech
51,sport
52,politics
53,sport
54,sport
55,entertainment
56,business
57,business
58,politics
59,sport
60,tech
61,business
62,entertainment
63,tech
64,business
65,sport
66,politics
67,politics
68,tech
69,tech
70,sport
71,tech
72,sport
73,sport
74,sport
75,business
76,sport
77,business
78,entertainment
79,business
80,tech
81,business
82,politics
83,politics
84,sport
85,sport
86,politics
87,entertainment
88,sport
89,sport
90,politics
91,tech
92,politics
93,sport
94,politics
95,business
96,business
97,business
98,business
99,sport
100,business
101,politics
102,tech
103,tech
104,entertainment
105,politics
106,tech
107,business
108,business
109,business
110,business
111,entertainment
112,sport
113,business
114,business
115,business
116,politics
117,business
118,politics
119,sport
120,tech
121,sport
122,sport
123,politics
124,tech
125,tech
126,entertainment
127,sport
128,politics
129,business
130,sport
131,business
132,entertainment
133,sport
134,tech
135,entertainment
136,politics
137,business
138,sport
139,entertainment
140,entertainment
141,business
142,business
143,sport
144,tech
145,politics
146,business
147,business
148,sport
149,entertainment
150,sport
151,sport
152,politics
153,politics
154,tech
155,business
156,business
157,entertainment
158,tech
159,entertainment
160,politics
161,tech
162,entertainment
163,sport
164,business
165,politics
166,entertainment
167,sport
168,politics
169,sport
170,tech
171,entertainment
172,sport
173,entertainment
174,business
175,business
176,entertainment
177,politics
178,business
179,sport
180,sport
181,tech
182,sport
183,business
184,business
185,sport
186,business
187,entertainment
188,politics
189,entertainment
190,entertainment
191,tech
192,sport
193,politics
194,sport
195,tech
196,politics
197,sport
198,sport
199,sport
200,sport
201,entertainment
202,sport
203,business
204,tech
205,business
206,politics
207,sport
208,tech
209,business
210,business
211,sport
212,entertainment
213,entertainment
214,politics
215,politics
216,sport
217,politics
218,politics
219,sport
220,entertainment
221,entertainment
222,sport
223,entertainment
224,entertainment
225,sport
226,sport
227,business
228,tech
229,entertainment
230,politics
231,business
232,sport
233,business
234,entertainment
235,business
236,tech
237,sport
238,sport
239,sport
240,sport
241,sport
242,business
243,sport
244,entertainment
245,business
246,politics
247,sport
248,business
249,politics
250,business
251,entertainment
252,sport
253,sport
254,business
255,tech
256,business
257,tech
258,politics
259,tech
260,tech
261,business
262,politics
263,sport
264,entertainment
265,entertainment
266,business
267,entertainment
268,tech
269,entertainment
270,entertainment
271,politics
272,tech
273,sport
274,sport
275,politics
276,sport
277,tech
278,business
279,tech
280,business
281,tech
282,entertainment
283,sport
284,sport
285,sport
286,politics
287,politics
288,sport
289,sport
290,entertainment
291,business
292,tech
293,sport
294,politics
295,tech
296,politics
297,politics
298,tech
299,tech
300,business
301,tech
302,business
303,sport
304,entertainment
305,business
306,sport
307,politics
308,entertainment
309,tech
310,politics
311,business
312,entertainment
313,business
314,tech
315,sport
316,tech
317,sport
318,sport
319,sport
320,politics
321,business
322,politics
323,entertainment
324,sport
325,entertainment
326,business
327,politics
328,business
329,sport
330,entertainment
331,sport
332,business
333,entertainment
334,entertainment
335,sport
336,politics
337,business
338,politics
339,tech
340,entertainment
341,entertainment
342,entertainment
343,tech
344,sport
345,business
346,entertainment
347,entertainment
348,entertainment
349,politics
350,sport
351,politics
352,politics
353,tech
354,politics
355,business
356,politics
357,business
358,sport
359,entertainment
360,business
361,business
362,business
363,sport
364,sport
365,politics
366,politics
367,sport
368,tech
369,tech
370,sport
371,tech
372,entertainment
373,politics
374,tech
375,politics
376,entertainment
377,sport
378,business
379,tech
380,sport
381,business
382,politics
383,entertainment
384,politics
385,sport
386,tech
387,sport
388,business
389,sport
390,tech
391,business
392,politics
393,business
394,sport
395,sport
396,tech
397,tech
398,business
399,business
400,politics
401,politics
402,business
403,entertainment
404,business
405,entertainment
406,sport
407,sport
408,entertainment
409,entertainment
410,business
411,politics
412,business
413,entertainment
414,sport
415,tech
416,entertainment
417,tech
418,entertainment
419,business
420,tech
421,entertainment
422,business
423,business
424,business
425,business
426,entertainment
427,tech
428,tech
429,tech
430,entertainment
431,tech
432,sport
433,entertainment
434,politics
435,tech
436,business
437,sport
438,entertainment
439,sport
440,tech
441,tech
442,business
443,tech
444,sport
445,sport
446,sport
447,entertainment
448,entertainment
449,business
450,entertainment
451,tech
452,tech
453,sport
454,entertainment
455,tech
456,business
457,politics
458,entertainment
459,tech
460,politics
461,sport
462,sport
463,politics
464,politics
465,business
466,sport
467,sport
468,business
469,entertainment
470,entertainment
471,politics
472,business
473,business
474,business
475,business
476,sport
477,business
478,business
479,politics
480,politics
481,tech
482,entertainment
483,politics
484,business
485,tech
486,business
487,business
488,sport
489,tech
490,tech
491,sport
492,entertainment
493,tech
494,tech
495,tech
496,politics
497,tech
498,tech
499,tech
500,business
501,business
502,business
503,tech
504,sport
505,business
506,politics
507,politics
508,entertainment
509,tech
510,politics
511,entertainment
512,entertainment
513,business
514,politics
515,sport
516,sport
517,sport
518,sport
519,politics
520,entertainment
521,business
522,business
523,politics
524,sport
525,entertainment
526,entertainment
527,sport
528,business
529,politics
530,entertainment
531,business
532,sport
533,tech
534,sport
535,sport
536,business
537,tech
538,politics
539,business
540,tech
541,politics
542,politics
543,politics
544,sport
545,business
546,sport
547,entertainment
548,politics
549,tech
550,tech
551,business
552,tech
553,business
554,entertainment
555,entertainment
556,politics
557,business
558,politics
559,business
560,entertainment
561,entertainment
562,business
563,politics
564,business
565,tech
566,business
567,business
568,tech
569,politics
570,business
571,tech
572,business
573,politics
574,entertainment
575,sport
576,entertainment
577,sport
578,entertainment
579,sport
580,business
581,tech
582,tech
583,sport
584,sport
585,business
586,politics
587,tech
588,tech
589,tech
590,business
591,sport
592,business
593,business
594,business
595,business
596,business
597,entertainment
598,tech
599,sport
600,sport
601,politics
602,tech
603,tech
604,business
605,tech
606,business
607,politics
608,entertainment
609,tech
610,business
611,business
612,politics
613,tech
614,entertainment
615,business
616,tech
617,entertainment
618,entertainment
619,sport
620,politics
621,sport
622,business
623,entertainment
624,entertainment
625,business
626,politics
627,business
628,tech
629,tech
630,business
631,entertainment
632,tech
633,tech
634,sport
635,sport
636,entertainment
637,sport
638,entertainment
639,politics
640,entertainment
641,tech
642,entertainment
643,politics
644,politics
645,business
646,business
647,tech
648,sport
649,sport
650,business
651,tech
652,politics
653,politics
654,business
655,entertainment
656,sport
657,sport
658,politics
659,tech
660,sport
661,sport
662,business
663,politics
664,business
665,entertainment
666,tech
667,politics
668,sport
669,sport
670,tech
671,politics
672,business
673,sport
674,politics
675,politics
676,sport
677,business
678,tech
679,politics
680,business
681,tech
682,entertainment
683,business
684,tech
685,politics
686,tech
687,politics
688,entertainment
689,sport
690,sport
691,business
692,business
693,tech
694,sport
695,entertainment
696,entertainment
697,tech
698,politics
699,entertainment
700,business
701,entertainment
702,tech
703,business
704,sport
705,business
706,business
707,business
708,sport
709,sport
710,tech
711,business
712,sport
713,politics
714,sport
715,entertainment
716,business
717,entertainment
718,entertainment
719,politics
720,tech
721,tech
722,sport
723,business
724,sport
725,sport
726,tech
727,entertainment
728,business
729,business
730,business
731,politics
732,sport
733,tech
734,politics
735,business
736,tech
737,tech
738,sport
739,business
740,sport
741,entertainment
742,business
743,sport
744,tech
745,tech
746,entertainment
747,business
748,sport
749,politics
750,tech
751,sport
752,business
753,business
754,business
755,politics
756,sport
757,tech
758,entertainment
759,tech
760,tech
761,business
762,politics
763,business
764,entertainment
765,entertainment
766,politics
767,sport
768,politics
769,business
770,sport
771,business
772,politics
773,sport
774,tech
775,sport
776,tech
777,politics
778,sport
779,sport
780,tech
781,entertainment
782,entertainment
783,tech
784,entertainment
785,sport
786,sport
787,tech
788,entertainment
789,tech
790,entertainment
791,entertainment
792,sport
793,sport
794,sport
795,entertainment
796,entertainment
797,tech
798,sport
799,politics
800,entertainment
801,business
802,sport
803,business
804,business
805,politics
806,politics
807,business
808,politics
809,politics
810,sport
811,politics
812,sport
813,sport
814,business
815,entertainment
816,sport
817,tech
818,sport
819,politics
820,entertainment
821,tech
822,sport
823,sport
824,business
825,tech
826,tech
827,entertainment
828,entertainment
829,tech
830,entertainment
831,politics
832,politics
833,sport
834,business
835,politics
836,politics
837,entertainment
838,politics
839,entertainment
840,tech
841,politics
842,entertainment
843,politics
844,sport
845,sport
846,politics
847,business
848,politics
849,tech
850,business
851,business
852,sport
853,sport
854,tech
855,politics
856,sport
857,sport
858,tech
859,sport
860,politics
861,tech
862,entertainment
863,tech
864,entertainment
865,sport
866,politics
867,sport
868,entertainment
869,tech
870,entertainment
871,business
872,entertainment
873,tech
874,politics
875,sport
876,business
877,entertainment
878,business
879,business
880,entertainment
881,sport
882,sport
883,entertainment
884,politics
885,politics
886,business
887,entertainment
888,tech
889,business
890,politics
891,business
892,business
893,sport
894,politics
895,business
896,sport
897,politics
898,tech
899,tech
900,entertainment
901,business
902,entertainment
903,politics
904,sport
905,politics
906,entertainment
907,politics
908,tech
909,business
910,tech
911,business
912,politics
913,politics
914,tech
915,entertainment
916,sport
917,politics
918,politics
919,politics
920,politics
921,politics
922,sport
923,business
924,sport
925,entertainment
926,business
927,tech
928,politics
929,sport
930,business
931,sport
932,sport
933,politics
934,sport
935,entertainment
936,business
937,entertainment
938,entertainment
939,tech
940,politics
941,entertainment
942,tech
943,sport
944,politics
945,politics
946,business
947,sport
948,business
949,tech
950,entertainment
951,entertainment
952,sport
953,politics
954,entertainment
955,entertainment
956,politics
957,business
958,tech
959,entertainment
960,business
961,business
962,politics
963,politics
964,entertainment
965,sport
966,politics
967,tech
968,entertainment
969,politics
970,sport
971,business
972,sport
973,politics
974,sport
975,business
976,entertainment
977,tech
978,tech
979,business
980,sport
981,tech
982,politics
983,sport
984,politics
985,sport
986,sport
987,tech
988,politics
989,business
990,tech
991,business
992,entertainment
993,politics
994,sport
995,sport
996,business
997,business
998,sport
999,business
1000,sport
1001,sport
1002,entertainment
1003,sport
1004,sport
1005,politics
1006,politics
1007,tech
1008,business
1009,politics
1010,tech
1011,entertainment
1012,business
1013,politics
1014,sport
1015,sport
1016,sport
1017,entertainment
1018,business
1019,sport
1020,sport
1021,business
1022,business
1023,politics
1024,business
1025,sport
1026,business
1027,tech
1028,politics
1029,business
1030,sport
1031,business
1032,entertainment
1033,sport
1034,entertainment
1035,entertainment
1036,entertainment
1037,business
1038,politics
1039,politics
1040,business
1041,tech
1042,sport
1043,tech
1044,politics
1045,sport
1046,politics
1047,tech
1048,politics
1049,business
1050,entertainment
1051,entertainment
1052,entertainment
1053,politics
1054,entertainment
1055,sport
1056,entertainment
1057,politics
1058,tech
1059,tech
1060,politics
1061,business
1062,tech
1063,business
1064,tech
1065,business
1066,entertainment
1067,entertainment
1068,politics
1069,sport
1070,entertainment
1071,entertainment
1072,tech
1073,tech
1074,tech
1075,business
1076,tech
1077,tech
1078,business
1079,sport
1080,tech
1081,politics
1082,entertainment
1083,business
1084,sport
1085,business
1086,entertainment
1087,sport
1088,sport
1089,sport
1090,business
1091,tech
1092,politics
1093,business
1094,politics
1095,politics
1096,politics
1097,entertainment
1098,sport
1099,politics
1100,business
1101,entertainment
1102,entertainment
1103,politics
1104,tech
1105,tech
1106,business
1107,tech
1108,sport
1109,sport
1110,entertainment
1111,sport
1112,sport
1113,sport
1114,politics
1115,tech
1116,tech
1117,politics
1118,politics
1119,business
1120,business
1121,sport
1122,tech
1123,tech
1124,sport
1125,entertainment
1126,sport
1127,entertainment
1128,business
1129,tech
1130,politics
1131,tech
1132,sport
1133,business
1134,sport
1135,business
1136,entertainment
1137,tech
1138,business
1139,sport
1140,business
1141,sport
1142,tech
1143,business
1144,business
1145,business
1146,sport
1147,business
1148,sport
1149,politics
1150,business
1151,sport
1152,politics
1153,entertainment
1154,business
1155,business
1156,politics
1157,business
1158,tech
1159,sport
1160,entertainment
1161,sport
1162,entertainment
1163,tech
1164,sport
1165,sport
1166,sport
1167,entertainment
1168,politics
1169,business
1170,politics
1171,politics
1172,sport
1173,entertainment
1174,sport
1175,business
1176,sport
1177,politics
1178,entertainment
1179,tech
1180,business
1181,business
1182,sport
1183,sport
1184,sport
1185,entertainment
1186,sport
1187,politics
1188,politics
1189,sport
1190,tech
1191,entertainment
1192,entertainment
1193,entertainment
1194,politics
1195,business
1196,tech
1197,business
1198,entertainment
1199,sport
1200,sport
1201,sport
1202,business
1203,tech
1204,business
1205,entertainment
1206,tech
1207,politics
1208,sport
1209,politics
1210,politics
1211,tech
1212,entertainment
1213,sport
1214,politics
1215,politics
1216,entertainment
1217,sport
1218,politics
1219,entertainment
1220,entertainment
1221,sport
1222,tech
1223,sport
1224,business
1225,business
1226,business
1227,sport
1228,entertainment
1229,entertainment
1230,entertainment
1231,sport
1232,tech
1233,politics
1234,entertainment
1235,politics
1236,entertainment
1237,entertainment
1238,sport
1239,sport
1240,sport
1241,entertainment
1242,politics
1243,business
1244,sport
1245,business
1246,sport
1247,politics
1248,business
1249,business
1250,business
1251,sport
1252,sport
1253,politics
1254,business
1255,entertainment
1256,business
1257,business
1258,politics
1259,politics
1260,business
1261,entertainment
1262,politics
1263,sport
1264,business
1265,tech
1266,sport
1267,sport
1268,tech
1269,business
1270,entertainment
1271,entertainment
1272,business
1273,politics
1274,business
1275,business
1276,business
1277,business
1278,sport
1279,tech
1280,sport
1281,politics
1282,business
1283,business
1284,entertainment
1285,politics
1286,sport
1287,tech
1288,business
1289,entertainment
1290,business
1291,tech
1292,entertainment
1293,sport
1294,business
1295,entertainment
1296,tech
1297,entertainment
1298,politics
1299,business
1300,sport
1301,politics
1302,tech
1303,sport
1304,politics
1305,tech
1306,business
1307,politics
1308,tech
1309,business
1310,entertainment
1311,tech
1312,business
1313,sport
1314,entertainment
1315,sport
1316,tech
1317,tech
1318,sport
1319,tech
1320,tech
1321,politics
1322,politics
1323,sport
1324,politics
1325,entertainment
1326,business
1327,entertainment
1328,politics
1329,politics
1330,sport
1331,tech
1332,business
1333,entertainment
1334,business
1335,sport
1336,entertainment
1337,entertainment
1338,politics
1339,politics
1340,entertainment
1341,business
1342,entertainment
1343,sport
1344,tech
1345,tech
1346,business
1347,sport
1348,sport
1349,entertainment
1350,entertainment
1351,business
1352,entertainment
1353,entertainment
1354,tech
1355,sport
1356,politics
1357,politics
1358,entertainment
1359,sport
1360,politics
1361,sport
1362,tech
1363,tech
1364,politics
1365,politics
1366,business
1367,tech
1368,business
1369,business
1370,tech
1371,tech
1372,sport
1373,business
1374,business
1375,entertainment
1376,business
1377,politics
1378,sport
1379,politics
1380,politics
1381,sport
1382,business
1383,business
1384,business
1385,business
1386,sport
1387,politics
1388,tech
1389,business
1390,entertainment
1391,entertainment
1392,tech
1393,entertainment
1394,entertainment
1395,business
1396,sport
1397,tech
1398,business
1399,business
1400,business
1401,sport
1402,entertainment
1403,sport
1404,politics
1405,politics
1406,sport
1407,entertainment
1408,politics
1409,tech
1410,entertainment
1411,politics
1412,entertainment
1413,sport
1414,entertainment
1415,politics
1416,politics
1417,business
1418,tech
1419,entertainment
1420,sport
1421,entertainment
1422,politics
1423,politics
1424,business
1425,entertainment
1426,politics
1427,business
1428,sport
1429,politics
1430,entertainment
1431,business
1432,politics
1433,entertainment
1434,sport
1435,sport
1436,politics
1437,tech
1438,tech
1439,tech
1440,sport
1441,tech
1442,entertainment
1443,sport
1444,entertainment
1445,business
1446,politics
1447,business
1448,sport
1449,politics
1450,business
1451,sport
1452,politics
1453,entertainment
1454,politics
1455,tech
1456,politics
1457,entertainment
1458,business
1459,entertainment
1460,entertainment
1461,tech
1462,entertainment
1463,politics
1464,tech
1465,tech
1466,business
1467,sport
1468,sport
1469,tech
1470,business
1471,sport
1472,politics
1473,sport
1474,business
1475,politics
1476,entertainment
1477,tech
1478,politics
1479,business
1480,business
1481,sport
1482,tech
1483,entertainment
1484,business
1485,entertainment
1486,entertainment
1487,business
1488,tech
1489,tech
